,phase,request,target,targetWord,eventType,instrument,starttime,timestamp,duration,PID,condition,KL,grab,onebyone,count,group1,group2,group3,more,response,spontaneousCounting,right,logic,words,comments,one,two,three,four,five,six,seven,eight,nine,ten,gi,zo,AND,bignumber,nonnumber,kidaction,actor,flag,flagged,date,kl,trial_ind,distracted,question,parent,prompt,other,eyes,,correct,ID,cond,age,expr,action_sequence,ngroups,strat_sequence,comments_list,kid_words,temporal_groups,incomplete,unconditioned,mk_acc,g5_acc,gf_acc,gz_acc,training_acc,giraffe_nums
3480,Main,zozo1,6,zozo,trial,trialsubmit,1721760055850,1721760090847,34997,FL3,&,,0,0,3,3,0,0,0,3,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240723,,,False,False,False,False,False,,,False,20240723_FL3,AND,63.76666667,LM, c γ,1,C.,,,1,False,False,0.16666666666666666,0.0,1.0,0.5,1.0,True
3499,Main,zogi1,4,zogi,trial,trialsubmit,1721760109350,1721760136817,27467,FL3,&,,4,0,0,4,0,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240723,,,False,False,False,False,False,,,True,20240723_FL3,AND,63.76666667,LM, g γ,1,G.,,,1,False,False,0.16666666666666666,0.0,1.0,0.5,1.0,True
3516,Main,zogi2,4,zogi,trial,trialsubmit,1721760155537,1721760169233,13696,FL3,&,,3,0,0,3,0,0,0,3,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240723,,,False,False,False,False,False,,,False,20240723_FL3,AND,63.76666667,LM, g γ,1,G.,,,1,False,False,0.16666666666666666,0.0,1.0,0.5,1.0,True
3523,Main,zozo2,6,zozo,trial,trialsubmit,1721760169237,1721760178093,8856,FL3,&,,3,0,0,3,0,0,0,3,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240723,,,False,False,False,False,False,,,False,20240723_FL3,AND,63.76666667,LM, g γ,1,G.,,,1,False,False,0.16666666666666666,0.0,1.0,0.5,1.0,True
3548,Main,zogi3,4,zogi,trial,trialsubmit,1721760209140,1721760223053,13913,FL3,&,,3,2,0,5,0,0,0,5,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240723,,,False,False,False,False,False,,,False,20240723_FL3,AND,63.76666667,LM, g b γ,1,G.B.,,,2,False,False,0.16666666666666666,0.0,1.0,0.5,1.0,True
3555,Main,zozo3,6,zozo,trial,trialsubmit,1721760223056,1721760233704,10648,FL3,&,,3,0,0,3,0,0,0,3,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240723,,,False,False,False,False,False,,,False,20240723_FL3,AND,63.76666667,LM, g γ,1,G.,,,1,False,False,0.16666666666666666,0.0,1.0,0.5,1.0,True
3769,Main,zozo1,6,zozo,trial,trialsubmit,1721853960500,1721853987901,27401,FL3,&,,0,3,0,3,0,0,0,3,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240724,,,False,False,False,False,False,,,False,20240724_FL3,AND,49.9,VT, b γ,1,B.,,,1,False,False,0.8333333333333334,1.0,1.0,1.0,1.0,True
3788,Main,zogi1,4,zogi,trial,trialsubmit,1721854021436,1721854051014,29578,FL3,&,,0,4,0,4,0,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240724,,,False,False,False,False,False,,,True,20240724_FL3,AND,49.9,VT, b γ,1,B.,,,1,False,False,0.8333333333333334,1.0,1.0,1.0,1.0,True
3807,Main,zogi2,4,zogi,trial,trialsubmit,1721854075185,1721854119386,44201,FL3,&,,0,4,0,4,0,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240724,,,False,False,False,False,False,,,True,20240724_FL3,AND,49.9,VT, b γ,1,B.,,,1,False,False,0.8333333333333334,1.0,1.0,1.0,1.0,True
3825,Main,zozo2,6,zozo,trial,trialsubmit,1721854119391,1721854154284,34893,FL3,&,,0,0,6,6,0,0,0,6,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240724,,,False,False,False,False,False,,,True,20240724_FL3,AND,49.9,VT, c γ,1,C.,,,1,False,False,0.8333333333333334,1.0,1.0,1.0,1.0,True
3846,Main,zogi3,4,zogi,trial,trialsubmit,1721854183590,1721854200736,17146,FL3,&,,0,4,0,4,0,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240724,,,False,False,False,False,False,,,True,20240724_FL3,AND,49.9,VT, b γ,1,B.,,,1,False,False,0.8333333333333334,1.0,1.0,1.0,1.0,True
3859,Main,zozo3,6,zozo,trial,trialsubmit,1721854200739,1721854224794,24055,FL3,&,,0,6,0,6,0,0,0,6,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240724,,,False,False,False,False,False,,,True,20240724_FL3,AND,49.9,VT, b γ,1,B.,,,1,False,False,0.8333333333333334,1.0,1.0,1.0,1.0,True
4001,Main,zozo1,6,zozo,trial,trialsubmit,1721855725339,1721855752969,27630,FL4,&,,0,2,0,2,0,0,0,2,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240724,,,False,False,False,False,False,,,False,20240724_FL4,AND,47.23333333,VT, b γ,1,B.,,,1,False,False,0.6666666666666666,1.0,1.0,1.0,0.75,True
4027,Main,zogi1,4,zogi,trial,trialsubmit,1721855789951,1721855863448,73497,FL4,&,,4,0,0,3,0,0,0,3,0,4,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240724,,,False,False,False,False,False,,,False,20240724_FL4,AND,47.23333333,VT, g γ,1,G.,,,1,False,False,0.6666666666666666,1.0,1.0,1.0,0.75,True
4051,Main,zogi2,4,zogi,trial,trialsubmit,1721855941885,1721855958183,16298,FL4,&,,4,0,0,4,0,0,0,4,0,4,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240724,,,False,False,False,False,False,,,True,20240724_FL4,AND,47.23333333,VT, g γ,1,G.,,,1,False,False,0.6666666666666666,1.0,1.0,1.0,0.75,True
4064,Main,zozo2,6,zozo,trial,trialsubmit,1721855958186,1721855980354,22168,FL4,&,,6,0,0,3,3,0,0,6,0,0,0,0,That means 6,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240724,,,False,False,False,False,False,,,True,20240724_FL4,AND,47.23333333,VT, g γ δ,2,G.,,,1,False,False,0.6666666666666666,1.0,1.0,1.0,0.75,True
4083,Main,zogi3,4,zogi,trial,trialsubmit,1721856030236,1721856049278,19042,FL4,&,,4,0,0,4,0,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240724,,,False,False,False,False,False,,,True,20240724_FL4,AND,47.23333333,VT, g γ,1,G.,,,1,False,False,0.6666666666666666,1.0,1.0,1.0,0.75,True
4099,Main,zozo3,6,zozo,trial,trialsubmit,1721856049280,1721856075404,26124,FL4,&,,3,0,0,3,3,0,0,6,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240724,,,False,False,False,False,False,,,True,20240724_FL4,AND,47.23333333,VT, g γ δ,2,G.,,,1,False,False,0.6666666666666666,1.0,1.0,1.0,0.75,True
4737,Main,zozo1,6,zozo,trial,trialsubmit,1722104035491,1722104058037,22546,FL3,&,,4,0,0,4,0,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240727,,8,False,False,False,False,False,,,False,20240727_FL3,AND,68.73333333,VT, g γ,1,G.,,,1,False,False,0.8333333333333334,1.0,1.0,0.0,0.875,True
4756,Main,zogi1,4,zogi,trial,trialsubmit,1722104078823,1722104094701,15878,FL3,&,,3,1,0,3,1,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240727,,11,False,False,False,False,False,,,True,20240727_FL3,AND,68.73333333,VT, g b γ δ,2,G.B.,,,2,False,False,0.8333333333333334,1.0,1.0,0.0,0.875,True
4775,Main,zogi2,4,zogi,trial,trialsubmit,1722104109522,1722104117615,8093,FL3,&,,4,0,0,4,0,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240727,,14,False,False,False,False,False,,,True,20240727_FL3,AND,68.73333333,VT, g γ,1,G.,,,1,False,False,0.8333333333333334,1.0,1.0,0.0,0.875,True
4795,Main,zozo2,6,zozo,trial,trialsubmit,1722104117621,1722104137950,20329,FL3,&,,6,0,0,6,0,0,0,6,0,6,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240727,,15,False,False,False,False,False,,,True,20240727_FL3,AND,68.73333333,VT, g γ,1,G.,,,1,False,False,0.8333333333333334,1.0,1.0,0.0,0.875,True
4814,Main,zogi3,4,zogi,trial,trialsubmit,1722104168584,1722104181201,12617,FL3,&,,4,0,0,3,1,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240727,,18,False,False,False,False,False,,,True,20240727_FL3,AND,68.73333333,VT, g γ δ,2,G.,,,1,False,False,0.8333333333333334,1.0,1.0,0.0,0.875,True
4838,Main,zozo3,6,zozo,trial,trialsubmit,1722104181205,1722104211916,30711,FL3,&,,6,0,0,6,0,0,0,6,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240727,,19,False,False,False,False,False,,,True,20240727_FL3,AND,68.73333333,VT, g γ,1,G.,,,1,False,False,0.8333333333333334,1.0,1.0,0.0,0.875,True
5146,Main,zozo1,6,zozo,trial,trialsubmit,1722105445073,1722105476907,31834,FL5,&,,3,3,0,6,0,0,0,6,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240727,,8,False,False,False,False,False,,,True,20240727_FL5,AND,70.5,LM , g b γ,1,G.B.,,,2,False,False,1.0,1.0,0.5,1.0,1.0,False
5166,Main,zogi1,4,zogi,trial,trialsubmit,1722105505991,1722105535972,29981,FL5,&,,4,0,0,4,0,0,0,4,0,0,0,0,“1 plus 3”,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240727,,11,False,False,False,False,False,,,True,20240727_FL5,AND,70.5,LM , g γ,1,G.,,,1,False,False,1.0,1.0,0.5,1.0,1.0,False
5186,Main,zogi2,4,zogi,trial,trialsubmit,1722105550642,1722105564373,13731,FL5,&,,4,0,0,4,0,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240727,,14,False,False,False,False,False,,,True,20240727_FL5,AND,70.5,LM , g γ,1,G.,,,1,False,False,1.0,1.0,0.5,1.0,1.0,False
5201,Main,zozo2,6,zozo,trial,trialsubmit,1722105564377,1722105582207,17830,FL5,&,,3,3,0,6,0,0,0,6,0,0,0,0,Not 5,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240727,,15,False,False,False,False,False,,,True,20240727_FL5,AND,70.5,LM , g b γ,1,G.B.,,,2,False,False,1.0,1.0,0.5,1.0,1.0,False
5227,Main,zogi3,4,zogi,trial,trialsubmit,1722105618500,1722105635777,17277,FL5,&,,0,4,0,4,0,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240727,,18,False,False,False,False,False,,,True,20240727_FL5,AND,70.5,LM , b γ,1,B.,,,1,False,False,1.0,1.0,0.5,1.0,1.0,False
5241,Main,zozo3,6,zozo,trial,trialsubmit,1722105635781,1722105658230,22449,FL5,&,,0,6,0,6,0,0,0,6,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240727,,19,False,False,False,False,False,,,True,20240727_FL5,AND,70.5,LM , b γ,1,B.,,,1,False,False,1.0,1.0,0.5,1.0,1.0,False
5925,Main,zozo1,6,zozo,trial,trialsubmit,1722357953405,1722358028185,74780,MOC2,-,,0,0,0,3,0,0,0,3,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240730,,8,False,False,False,False,False,,,False,20240730_MOC2,CAT,63.13333333,GM, γ,1,,,,0,False,False,0.0,0.0,0.5,1.0,0.9,True
5937,Main,zogi1,4,zogi,trial,trialsubmit,1722358045320,1722358063852,18532,MOC2,-,,0,0,0,2,0,0,0,2,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240730,,11,False,False,False,False,False,,,False,20240730_MOC2,CAT,63.13333333,GM, γ,1,,,,0,False,False,0.0,0.0,0.5,1.0,0.9,True
5946,Main,zogi2,4,zogi,trial,trialsubmit,1722358080985,1722358096839,15854,MOC2,-,,0,0,0,2,0,0,0,2,0,0,0,0,"""gi zee""",False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240730,,14,False,False,False,False,False,,,False,20240730_MOC2,CAT,63.13333333,GM, γ,1,,,,0,False,False,0.0,0.0,0.5,1.0,0.9,True
5950,Main,zozo2,6,zozo,trial,trialsubmit,1722358096841,1722358106119,9278,MOC2,-,,0,0,0,2,0,0,0,2,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240730,,15,False,False,False,False,False,,,False,20240730_MOC2,CAT,63.13333333,GM, γ,1,,,,0,False,False,0.0,0.0,0.5,1.0,0.9,True
5958,Main,zogi3,4,zogi,trial,trialsubmit,1722358123636,1722358134416,10780,MOC2,-,,0,0,0,1,0,0,0,1,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240730,,18,False,False,False,False,False,,,False,20240730_MOC2,CAT,63.13333333,GM, γ,1,,,,0,False,False,0.0,0.0,0.5,1.0,0.9,True
5961,Main,zozo3,6,zozo,trial,trialsubmit,1722358134417,1722358143134,8717,MOC2,-,,0,0,0,2,0,0,0,2,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240730,,19,False,False,False,False,False,,,False,20240730_MOC2,CAT,63.13333333,GM, γ,1,,,,0,False,False,0.0,0.0,0.5,1.0,0.9,True
6033,Main,zozo1,6,zozo,trial,trialsubmit,1722359979123,1722360043166,64043,MOC3,-,,0,0,0,3,0,0,0,3,0,0,0,0,Very hyperactive,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240730,,8,False,False,False,False,False,,,False,20240730_MOC3,CAT,60.3,GM, γ,1,,,,0,False,False,0.16666666666666666,1.0,1.0,0.0,0.625,True
6046,Main,zogi1,4,zogi,trial,trialsubmit,1722360062957,1722360091659,28702,MOC3,-,,0,0,0,5,0,0,0,5,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240730,,11,False,False,False,False,False,,,False,20240730_MOC3,CAT,60.3,GM, γ,1,,,,0,False,False,0.16666666666666666,1.0,1.0,0.0,0.625,True
6064,Main,zogi2,4,zogi,trial,trialsubmit,1722360136456,1722360179431,42975,MOC3,-,,0,0,0,6,0,0,0,6,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240730,,14,False,False,False,False,False,,,False,20240730_MOC3,CAT,60.3,GM, γ,1,,,,0,False,False,0.16666666666666666,1.0,1.0,0.0,0.625,True
6069,Main,zozo2,6,zozo,trial,trialsubmit,1722360179433,1722360194692,15259,MOC3,-,,0,0,0,4,0,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240730,,15,False,False,False,False,False,,,False,20240730_MOC3,CAT,60.3,GM, γ,1,,,,0,False,False,0.16666666666666666,1.0,1.0,0.0,0.625,True
6086,Main,zogi3,4,zogi,trial,trialsubmit,1722360250389,1722360297359,46970,MOC3,-,,0,0,0,4,0,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240730,,18,False,False,False,False,False,,,True,20240730_MOC3,CAT,60.3,GM, γ,1,,,,0,False,False,0.16666666666666666,1.0,1.0,0.0,0.625,True
6090,Main,zozo3,6,zozo,trial,trialsubmit,1722360297360,1722360350512,53152,MOC3,-,,0,0,0,2,0,0,0,2,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240730,,19,False,False,False,False,False,,,False,20240730_MOC3,CAT,60.3,GM, γ,1,,,,0,False,False,0.16666666666666666,1.0,1.0,0.0,0.625,True
6206,Main,zozo1,6,zozo,trial,trialsubmit,1722459721926,1722459746028,24102,FL2,&,,6,0,0,6,0,0,0,6,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240731,,8,False,False,False,False,False,,,True,20240731_FL2,AND,66.0,VT, g γ,1,G.,,,1,False,False,1.0,1.0,1.0,1.0,1.0,True
6227,Main,zogi1,4,zogi,trial,trialsubmit,1722459789254,1722459811112,21858,FL2,&,,4,0,0,4,0,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240731,,11,False,False,False,False,False,,,True,20240731_FL2,AND,66.0,VT, g γ,1,G.,,,1,False,False,1.0,1.0,1.0,1.0,1.0,True
6248,Main,zogi2,4,zogi,trial,trialsubmit,1722459834992,1722459847071,12079,FL2,&,,4,0,0,3,1,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240731,,14,False,False,False,False,False,,,True,20240731_FL2,AND,66.0,VT, g γ δ,2,G.,,,1,False,False,1.0,1.0,1.0,1.0,1.0,True
6261,Main,zozo2,6,zozo,trial,trialsubmit,1722459847073,1722459860739,13666,FL2,&,,6,0,0,3,3,0,0,6,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240731,,15,False,False,False,False,False,,,True,20240731_FL2,AND,66.0,VT, g γ δ,2,G.,,,1,False,False,1.0,1.0,1.0,1.0,1.0,True
6280,Main,zogi3,4,zogi,trial,trialsubmit,1722459883984,1722459893711,9727,FL2,&,,4,0,0,3,1,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240731,,18,False,False,False,False,False,,,True,20240731_FL2,AND,66.0,VT, g γ δ,2,G.,,,1,False,False,1.0,1.0,1.0,1.0,1.0,True
6293,Main,zozo3,6,zozo,trial,trialsubmit,1722459893713,1722459914257,20544,FL2,&,,6,0,0,3,3,0,0,6,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240731,,19,False,False,False,False,False,,,True,20240731_FL2,AND,66.0,VT, g γ δ,2,G.,,,1,False,False,1.0,1.0,1.0,1.0,1.0,True
6593,Main,zozo1,6,zozo,trial,trialsubmit,1722708115466,1722708150096,34630,FL3,&,,0,6,0,6,0,0,0,6,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240803,,8,False,False,False,False,False,,,True,20240803_FL3,AND,62.1,VT, b γ,1,B.,,,1,False,False,1.0,1.0,1.0,1.0,0.875,True
6612,Main,zogi1,4,zogi,trial,trialsubmit,1722708177101,1722708198931,21830,FL3,&,,0,4,0,4,0,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240803,,11,False,False,False,False,False,,,True,20240803_FL3,AND,62.1,VT, b γ,1,B.,,,1,False,False,1.0,1.0,1.0,1.0,0.875,True
6635,Main,zogi2,4,zogi,trial,trialsubmit,1722708221354,1722708232585,11231,FL3,&,,0,4,0,4,0,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240803,,14,False,False,False,False,False,,,True,20240803_FL3,AND,62.1,VT, b γ,1,B.,,,1,False,False,1.0,1.0,1.0,1.0,0.875,True
6648,Main,zozo2,6,zozo,trial,trialsubmit,1722708232591,1722708247933,15342,FL3,&,,2,4,0,3,3,0,0,6,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240803,,15,False,False,False,False,False,,,True,20240803_FL3,AND,62.1,VT, g b γ δ,2,G.B.,,,2,False,False,1.0,1.0,1.0,1.0,0.875,True
6667,Main,zogi3,4,zogi,trial,trialsubmit,1722708271726,1722708285282,13556,FL3,&,,0,4,0,4,0,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240803,,18,False,False,False,False,False,,,True,20240803_FL3,AND,62.1,VT, b γ,1,B.,,,1,False,False,1.0,1.0,1.0,1.0,0.875,True
6682,Main,zozo3,6,zozo,trial,trialsubmit,1722708285285,1722708298835,13550,FL3,&,,3,3,0,3,3,0,0,6,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240803,,19,False,False,False,False,False,,,True,20240803_FL3,AND,62.1,VT, g b γ δ,2,G.B.,,,2,False,False,1.0,1.0,1.0,1.0,0.875,True
6854,Main,zozo1,6,zozo,trial,trialsubmit,1722709963084,1722710018172,55088,FL4,-,,0,3,0,3,0,0,0,3,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240803,,8,False,False,False,False,False,,,False,20240803_FL4,CAT,40.6,VT, b γ,1,B.,,,1,False,False,0.5,0.0,0.5,1.0,0.75,False
6875,Main,zogi1,4,zogi,trial,trialsubmit,1722710055323,1722710100358,45035,FL4,-,,3,1,0,4,0,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240803,,11,False,False,False,False,False,,,True,20240803_FL4,CAT,40.6,VT, g b γ,1,G.B.,,,2,False,False,0.5,0.0,0.5,1.0,0.75,False
6894,Main,zogi2,4,zogi,trial,trialsubmit,1722710119777,1722710136973,17196,FL4,-,,4,0,0,4,0,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240803,,14,False,False,False,False,False,,,True,20240803_FL4,CAT,40.6,VT, g γ,1,G.,,,1,False,False,0.5,0.0,0.5,1.0,0.75,False
6899,Main,zozo2,6,zozo,trial,trialsubmit,1722710136977,1722710153308,16331,FL4,-,,2,0,0,2,0,0,0,2,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240803,,15,False,False,False,False,False,,,False,20240803_FL4,CAT,40.6,VT, g γ,1,G.,,,1,False,False,0.5,0.0,0.5,1.0,0.75,False
6918,Main,zogi3,4,zogi,trial,trialsubmit,1722710183379,1722710195377,11998,FL4,-,,3,1,0,4,0,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240803,,18,False,False,False,False,False,,,True,20240803_FL4,CAT,40.6,VT, g b γ,1,G.B.,,,2,False,False,0.5,0.0,0.5,1.0,0.75,False
6923,Main,zozo3,6,zozo,trial,trialsubmit,1722710195380,1722710206014,10634,FL4,-,,0,2,0,2,0,0,0,2,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240803,,19,False,False,False,False,False,,,False,20240803_FL4,CAT,40.6,VT, b γ,1,B.,,,1,False,False,0.5,0.0,0.5,1.0,0.75,False
7097,Main,zozo1,6,zozo,trial,trialsubmit,1722967335220,1722967373868,38648,FL1,-,,3,0,0,3,0,0,0,3,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240806,,8,False,False,False,False,False,,,False,20240806_FL1,CAT,48.2,RA, g γ,1,G.,,,1,False,False,0.0,1.0,1.0,1.0,0.8571428571428571,True
7114,Main,zogi1,4,zogi,trial,trialsubmit,1722967386154,1722967406105,19951,FL1,-,,3,0,0,3,0,0,0,3,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240806,,11,False,False,False,False,False,,,False,20240806_FL1,CAT,48.2,RA, g γ,1,G.,,,1,False,False,0.0,1.0,1.0,1.0,0.8571428571428571,True
7131,Main,zogi2,4,zogi,trial,trialsubmit,1722967420566,1722967430591,10025,FL1,-,,3,0,0,3,0,0,0,3,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240806,,14,False,False,False,False,False,,,False,20240806_FL1,CAT,48.2,RA, g γ,1,G.,,,1,False,False,0.0,1.0,1.0,1.0,0.8571428571428571,True
7138,Main,zozo2,6,zozo,trial,trialsubmit,1722967430593,1722967439887,9294,FL1,-,,3,0,0,3,0,0,0,3,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240806,,15,False,False,False,False,False,,,False,20240806_FL1,CAT,48.2,RA, g γ,1,G.,,,1,False,False,0.0,1.0,1.0,1.0,0.8571428571428571,True
7155,Main,zogi3,4,zogi,trial,trialsubmit,1722967469634,1722967478513,8879,FL1,-,,3,0,0,3,0,0,0,3,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240806,,18,False,False,False,False,False,,,False,20240806_FL1,CAT,48.2,RA, g γ,1,G.,,,1,False,False,0.0,1.0,1.0,1.0,0.8571428571428571,True
7162,Main,zozo3,6,zozo,trial,trialsubmit,1722967478515,1722967487589,9074,FL1,-,,3,0,0,3,0,0,0,3,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240806,,19,False,False,False,False,False,,,False,20240806_FL1,CAT,48.2,RA, g γ,1,G.,,,1,False,False,0.0,1.0,1.0,1.0,0.8571428571428571,True
7301,Main,zozo1,6,zozo,trial,trialsubmit,1722968020486,1722968053543,33057,FL2,&,,4,1,0,5,0,0,0,5,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240806,,8,False,False,False,False,False,,,False,20240806_FL2,CAT,59.73333333,LM, g b γ,1,G.B.,,,2,False,False,0.0,1.0,1.0,1.0,0.875,True
7317,Main,zogi1,4,zogi,trial,trialsubmit,1722968073664,1722968097284,23620,FL2,&,,2,1,0,3,0,0,0,3,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240806,,11,False,False,False,False,False,,,False,20240806_FL2,CAT,59.73333333,LM, g b γ,1,G.B.,,,2,False,False,0.0,1.0,1.0,1.0,0.875,True
7339,Main,zogi2,4,zogi,trial,trialsubmit,1722968116833,1722968141051,24218,FL2,&,,3,0,0,3,0,0,0,3,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240806,,14,False,False,False,False,False,,,False,20240806_FL2,CAT,59.73333333,LM, g γ,1,G.,,,1,False,False,0.0,1.0,1.0,1.0,0.875,True
7346,Main,zozo2,6,zozo,trial,trialsubmit,1722968141054,1722968155296,14242,FL2,&,,3,0,0,3,0,0,0,3,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240806,,15,False,False,False,False,False,,,False,20240806_FL2,CAT,59.73333333,LM, g γ,1,G.,,,1,False,False,0.0,1.0,1.0,1.0,0.875,True
7363,Main,zogi3,4,zogi,trial,trialsubmit,1722968186611,1722968194382,7771,FL2,&,,3,0,0,3,0,0,0,3,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240806,,18,False,False,False,False,False,,,False,20240806_FL2,CAT,59.73333333,LM, g γ,1,G.,,,1,False,False,0.0,1.0,1.0,1.0,0.875,True
7370,Main,zozo3,6,zozo,trial,trialsubmit,1722968194384,1722968206492,12108,FL2,&,,2,1,0,3,0,0,0,3,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240806,,19,False,False,False,False,False,,,False,20240806_FL2,CAT,59.73333333,LM, g b γ,1,G.B.,,,2,False,False,0.0,1.0,1.0,1.0,0.875,True
7518,Main,zozo1,6,zozo,trial,trialsubmit,1722970802878,1722970968121,165243,FL4,&,,6,0,0,3,3,0,0,6,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240806,,8,False,False,False,False,False,,,True,20240806_FL4,AND,57.73333333,LM, g γ δ,2,G.,,,1,False,False,1.0,1.0,1.0,1.0,1.0,True
